Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
bad,no running account,18,no previous credits or paid back,items of furniture,2600,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,65,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.256634688
good,no running account,18,problematic running accounts,items of furniture,1940,no savings,less than 1 year,between 20 and 25,male:single,co-applicant,greater than 7 years,ownership of house or land,36,at other banks,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.255827945
good,>=200 DM,6,paid back previous credits at this bank,items of furniture,1740,no savings,greater than 7 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,no assets,30,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.252924196
good,>=200 DM,12,no previous credits or paid back,items of furniture,1963,no savings,between 4 and 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,no further running credits,free apartment,2 or 3,executive/self-employed/higher civil servant,0 to 2,yes,yes,0.250601088
good,<= 200 DM,12,paid back previous credits at this bank,other,1480,between 100 and 500 DM,unemployed,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,66,at other banks,owner,4 or 5,unemployed/unskilled with no permaant residence,3 and more,no,yes,0.245438078
bad,>=200 DM,24,no previous credits or paid back,items of furniture,3621,less than 100 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,31,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.239880298
good,no running account,36,no previous credits or paid back,other,3249,no savings,between 4 and 7 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,39,at other banks,owner,one,executive/self-employed/higher civil servant,0 to 2,yes,yes,0.238306538
good,>=200 DM,12,no previous credits or paid back,items of furniture,2073,less than 100 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,co-applicant,between 1 and 4 years,no assets,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.237753286
good,>=200 DM,18,paid back previous credits at this bank,used car,1817,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,ownership of house or land,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.237655286
good,>=200 DM,18,no previous credits or paid back,other,2662,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,no,0.233372133
good,<= 200 DM,4,no previous credits or paid back,other,1494,greater than 1000 DM,less than 1 year,greater than 35,male:single,none,between 1 and 4 years,no assets,29,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,no,0.22688403
good,no running account,24,no previous credits or paid back,new car,2812,greater than 1000 DM,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,no assets,26,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.225292754
good,>=200 DM,12,paid back previous credits at this bank,used car,1592,between 500 and 1000 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,car/other,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.214656297
bad,no running account,18,hesistant payment of previous credits,used car,3114,no savings,less than 1 year,greater than 35,female:divorced/living apart/married,none,greater than 7 years,car/other,26,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.213663799
good,no running account,6,no previous credits or paid back,used car,428,no savings,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,less than 1 year,car/other,49,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.20769036
good,>=200 DM,60,no problems with current credits at this bank,items of furniture,15653,no savings,between 4 and 7 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,21,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.203936969
good,>=200 DM,24,no previous credits or paid back,items of furniture,3235,between 100 and 500 DM,greater than 7 years,between 20 and 25,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,36,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.200420961
good,>=200 DM,42,paid back previous credits at this bank,used car,4041,between 100 and 500 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,no assets,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,0.19593086
good,>=200 DM,6,hesistant payment of previous credits,items of furniture,426,no savings,greater than 7 years,less than 20,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,39,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,0.195603444
bad,no running account,24,no previous credits or paid back,used car,2996,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.193190517
good,>=200 DM,15,no previous credits or paid back,used car,2708,no savings,less than 1 year,between 25 and 35,male:single,none,between 4 and 7 years,car/other,27,at other banks,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,0.191831863
good,no balance,10,problematic running accounts,items of furniture,1048,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,no assets,23,at department store or mail order house,rented,one,unskilled with permanant residence,3 and more,no,yes,0.191773389
bad,no running account,24,problematic running accounts,used car,3552,no savings,between 4 and 7 years,between 20 and 25,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,27,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.190590058
good,>=200 DM,24,no problems with current credits at this bank,retraining,2978,greater than 1000 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,no assets,32,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,0.189542774
bad,no balance,24,paid back previous credits at this bank,used car,4736,no savings,less than 1 year,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,25,at other banks,rented,one,unskilled with permanant residence,3 and more,no,yes,0.188644686
bad,no running account,36,no previous credits or paid back,used car,2712,no savings,greater than 7 years,between 25 and 35,male:single,none,between 1 and 4 years,car/other,41,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,0.188501354
good,no balance,36,no previous credits or paid back,new car,6948,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,35,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,0.186753685
good,>=200 DM,15,paid back previous credits at this bank,items of furniture,1360,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,car/other,31,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,0.185196696
good,>=200 DM,9,paid back previous credits at this bank,used car,2406,no savings,unemployed,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,31,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,0.184598333
